Planet,Satellite,Code,Ephemeris,Frame,Epoch(TDB),a(km),e,ω(deg),M(deg),i(deg),node(deg),P(days),Papsis(yr),Pnode(yr),R.A.(deg),Dec.(deg),Tilt(deg),Ref.
Earth,Moon,301,DE405/LE405,ecliptic,2000-01-01.5,384400.,0.0554,318.15,135.27,5.16,125.08,27.322,5.997,18.600,,,,n/a
Mars,Phobos,401,MAR097,Laplace,2000-01-01.5,9400.,0.015,216.3,189.6,1.1,169.2,0.319033,1.132,2.262,317.7,52.9,0.0,10
Mars,Deimos,402,MAR097,Laplace,2000-01-01.5,23500.,0.000,0.0,205.0,1.8,54.4,1.262361,0.000,54.537,316.7,53.5,0.9,10
Jupiter,Io,501,JUP365,Laplace,2000-01-01.5,421800.,0.004,49.1,330.9,0.0,0.0,1.762732,1.333,0.000,268.1,64.5,0.0,23
Jupiter,Europa,502,JUP365,Laplace,2000-01-01.5,671100.,0.009,45.0,345.4,0.5,184.0,3.525463,1.394,30.202,268.1,64.5,0.0,23
Jupiter,Ganymede,503,JUP365,Laplace,2000-01-01.5,1070400.,0.001,198.3,324.8,0.2,58.5,7.155588,68.301,137.812,268.2,64.6,0.1,23
Jupiter,Callisto,504,JUP365,Laplace,2000-01-01.5,1882700.,0.007,43.8,87.4,0.3,309.1,16.690440,277.921,577.264,268.7,64.8,0.4,23
Jupiter,Amalthea,505,JUP365,Laplace,2000-01-01.5,181400.,0.003,180.1,310.6,0.4,282.9,0.499918,0.196,0.393,268.1,64.5,0.0,23
Jupiter,Thebe,514,JUP365,Laplace,2000-01-01.5,221900.,0.018,26.6,182.1,1.1,340.4,0.676105,0.398,0.797,268.1,64.5,0.0,23
Jupiter,Adrastea,515,JUP365,Laplace,2000-01-01.5,129000.,0.000,0.0,214.5,0.0,0.0,0.298260,0.000,0.000,268.1,64.5,0.0,23
Jupiter,Metis,516,JUP365,Laplace,2000-01-01.5,128000.,0.000,0.0,166.0,0.0,0.0,0.294779,0.000,0.000,268.1,64.5,0.0,23
Jupiter,Himalia,506,JUP344,ecliptic,2000-01-01.5,11440600.,0.160,328.4,66.5,28.1,68.2,250.562210,138.078,285.676,,,,21
Jupiter,Elara,507,JUP344,ecliptic,2000-01-01.5,11712300.,0.211,140.1,330.7,27.9,118.1,259.639884,127.616,261.624,,,,21
Jupiter,Pasiphae,508,JUP344,ecliptic,2000-01-01.5,23468200.,0.412,264.8,277.8,148.4,312.3,743.612321,81.126,80.786,,,,21
Jupiter,Sinope,509,JUP344,ecliptic,2000-01-01.5,23683900.,0.264,96.6,167.5,157.3,304.6,758.849903,88.675,87.408,,,,21
Jupiter,Lysithea,510,JUP344,ecliptic,2000-01-01.5,11700800.,0.117,47.4,331.5,27.2,7.1,259.198081,129.737,286.328,,,,21
Jupiter,Carme,511,JUP344,ecliptic,2000-01-01.5,23144400.,0.256,155.0,234.0,164.6,117.5,734.185280,81.289,88.540,,,,21
Jupiter,Ananke,512,JUP344,ecliptic,2000-01-01.5,21034500.,0.237,56.2,259.4,147.6,17.6,629.791691,142.376,110.506,,,,21
Jupiter,Leda,513,JUP344,ecliptic,2000-01-01.5,11146400.,0.162,270.9,233.4,28.6,215.7,240.926609,146.033,310.776,,,,21
Jupiter,Callirrhoe,517,JUP344,ecliptic,2000-01-01.5,23795500.,0.297,180.5,107.1,145.1,281.5,758.860222,119.762,89.001,,,,21
Jupiter,Themisto,518,JUP344,ecliptic,2000-01-01.5,7398500.,0.340,236.2,284.7,43.8,209.5,130.028096,-,420.197,,,,21
Jupiter,Magaclite,519,JUP344,ecliptic,2000-01-01.5,23644600.,0.421,85.1,138.1,149.8,280.3,752.861984,77.078,79.432,,,,21
Jupiter,Taygete,520,JUP344,ecliptic,2000-01-01.5,23108000.,0.253,341.0,95.7,164.7,305.9,732.451194,81.237,88.733,,,,21
Jupiter,Chaldene,521,JUP344,ecliptic,2000-01-01.5,22930500.,0.265,335.0,266.2,164.7,134.4,723.712689,81.657,89.543,,,,21
Jupiter,Harpalyke,522,JUP344,ecliptic,2000-01-01.5,20892100.,0.232,71.3,219.3,147.7,30.2,623.316099,145.025,111.952,,,,21
